county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Hawaii,condo_unit,600000,1,1,1,213,143975868
Hawaii,condo_unit,800000,0,1,1,951,848176486
Hawaii,condo_unit,800000,1,1,1,555,487213187
Hawaii,condo_unit,1000000,0,1,1,660,722002452
Hawaii,condo_unit,1000000,1,1,1,109,116625511
Hawaii,condo_unit,1250000,0,1,1,214,292322233
Hawaii,condo_unit,1250000,1,1,1,38,51997970
Hawaii,condo_unit,1500000,0,1,1,279,437138945
Hawaii,condo_unit,1500000,1,1,1,87,137588282
Hawaii,condo_unit,1750000,0,1,1,35,62923241
Hawaii,condo_unit,1750000,1,1,1,5,8989034
Hawaii,condo_unit,2000000,0,1,1,247,542370644
Hawaii,condo_unit,2000000,1,1,1,13,28660372
Hawaii,condo_unit,2250000,0,1,1,293,705368555
Hawaii,condo_unit,2250000,1,1,1,90,220616723
Hawaii,condo_unit,3250000,0,1,1,82,270633869
Hawaii,condo_unit,3250000,1,1,1,20,66008261
Hawaii,condo_unit,4000000,0,1,1,4,16849400
Hawaii,condo_unit,4500000,0,1,1,51,239715811
Hawaii,condo_unit,4500000,1,1,1,1,4667748
Hawaii,condo_unit,4750000,0,1,1,66,325389033
Hawaii,condo_unit,4750000,1,1,1,2,9860274
Hawaii,condo_unit,5250000,0,1,1,42,224137615
Hawaii,condo_unit,5250000,1,1,1,7,37277272
Hawaii,condo_unit,6000000,0,1,1,62,386956900
Hawaii,condo_unit,6500000,0,1,1,56,389951092
Hawaii,condo_unit,6500000,1,1,1,1,6958646
Hawaii,condo_unit,7000000,0,1,1,11,77956996
Hawaii,condo_unit,7000000,1,1,1,1,7087000
Hawaii,condo_unit,8000000,0,1,1,9,72877900
Hawaii,condo_unit,8500000,0,1,1,19,161645980
Hawaii,condo_unit,8500000,1,1,1,1,8507683
Hawaii,condo_unit,9000000,0,1,1,3,28320500
Hawaii,condo_unit,10000000,0,1,1,53,594083442
Hawaii,condo_unit,10000000,1,1,1,2,23889481
Hawaii,condo_unit,12500000,0,1,1,6,78707493
Hawaii,condo_unit,12500000,1,1,1,2,26762493
Hawaii,large_other,20000000,0,1,0,49,1166960700
Hawaii,large_other,20000000,1,1,0,5,112919100
Hawaii,large_other,30000000,0,1,0,22,870260300
Hawaii,large_other,30000000,1,1,0,2,152671700
Hawaii,multifamily,300000,0,1,0,1,391900
Hawaii,multifamily,600000,0,1,0,1,755500
Hawaii,multifamily,800000,0,1,0,3,2644000
Hawaii,multifamily,1000000,0,1,0,3,3246800
Hawaii,multifamily,1000000,1,1,0,1,1140500
